city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Chennai,Female,Padma Seshadri HSS,Private CBSE,SC,Hindu,Management,Hostel,Education Fair,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,176,Metro,Below Average,Premium,Distant,Traditional,Positive
Erode,Male,Kongu Vellalar HSS,Private Matriculation,SC,Hindu,Management,Day Scholar,Social Media Ad,The campus environment seems conducive for focused technical studies.,Interest,High Placement,195,Local,High Performer,Middle,Very Close,Digital,Neutral
Tiruppur,Male,Government HSS Tiruppur,Government,BC,Hindu,Government Counselling,Day Scholar,Education Fair,The day scholar option works well for our family situation.,Counselling,Higher Studies Masters,194,Local,High Performer,Budget,Close,Traditional,Neutral
Erode,Male,ABC Matriculation School Erode,Private CBSE,OC,Hindu,Management,Day Scholar,Friend Family Referral,We decided to invest in management quota considering the ROI through placements.,Interest,Become an Entrepreneur,181,Local,Average,Premium,Very Close,Referral,Neutral
Salem,Male,Anna University HSS Salem,Private CBSE,BC,Christian,Management,Day Scholar,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,184,Local,Average,Premium,Close,Digital,Positive
Karur,Male,Karur Matriculation School,Private Matriculation,OC,Christian,Government Counselling,Hostel,School Counselor,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,192,Local,High Performer,Middle,Distant,Referral,Neutral
Erode,Female,St. Josephs HSS Erode,Private Matriculation,MBC,Hindu,Management,Day Scholar,TV Advertisement,"Being close to home, day scholar option works perfectly for our family.",Interest,Become an Entrepreneur,183,Local,Average,Middle,Very Close,Traditional,Positive
Erode,Female,Gandhi HSS Erode,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Social Media Ad,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Become an Entrepreneur,186,Local,Average,Mixed,Very Close,Digital,Neutral
Thanjavur,Male,ABC School Thanjavur,Private Matriculation,OC,Christian,Government Counselling,Hostel,Google Search,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,196,Regional,High Performer,Middle,Distant,Digital,Positive
Erode,Female,ABC Matriculation School Erode,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,Social Media Ad,No hostel expenses and we can monitor the studies closely from home.,Interest,High Placement,191,Local,High Performer,Mixed,Very Close,Digital,Neutral
Salem,Female,Municipal HSS Salem,Government,BC,Hindu,Government Counselling,Day Scholar,College Website,Erode location provides good balance of facilities without big city distractions.,Counselling,Government Job,199,Local,High Performer,Budget,Close,Digital,Positive
Erode,Male,St. Josephs HSS Erode,Private CBSE,BCM,Muslim,Management,Day Scholar,Education Fair,The academic reputation and placement statistics convinced us to choose BIT.,Interest,High Placement,180,Local,Below Average,Premium,Very Close,Traditional,Positive
Tiruppur,Female,MNO International Tiruppur,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,School Counselor,No hostel expenses and we can monitor the studies closely from home.,Interest,High Placement,180,Local,Below Average,Mixed,Close,Referral,Neutral
